Size,Influence,NodeRuntime,InfRuntime
0,0,0.11391585999999874,2.410623139
1,1156,2.492608052999998,2.379710776
2,2416,4.701284289,2.251134866
3,3335,7.124441212999997,2.346296584
4,3979,8.398687692999992,2.3608174670000004
5,4532,9.197152382,2.185115543
6,5165,10.322433689999997,2.2036166639999983
7,5414,11.340000186999989,2.2816532810000005
8,5707,11.345155746000009,2.330896091
9,5983,12.022320152999995,2.3483491649999984
10,6216,12.960667051999993,2.3627767140000024
11,6424,12.725602734000006,2.2525282160000017
12,6734,12.753497984999996,2.312685130000002
13,6939,13.466619098999985,2.3469510609999986
14,7108,14.748701522999994,2.3422978369999967
15,7293,15.185313949000006,2.350423582999994
16,7474,15.799506871000006,2.334374685
17,7645,14.934375017000008,2.3380338710000004
18,7783,15.680812694999982,2.353788860999998
19,7983,15.252997721999975,2.3204280880000003
20,8126,15.516293617000027,2.3364238099999994
