Size,Influence,NodeRuntime,InfRuntime
0,0,0.034480542000000725,0.55860035
1,36,0.14940748299999917,0.546619596
2,67,0.23462722099999844,0.549608453
3,96,0.332198,0.5458156140000001
4,112,0.3786215310000003,0.5484631329999998
5,133,0.43551328400000067,0.5449009559999998
6,152,0.49911643599999955,0.5479015440000001
7,171,0.5582087129999991,0.5458862730000007
8,189,0.6145738949999995,0.550043745
9,226,0.7276362370000005,0.5428400949999999
10,240,0.7770774790000008,0.5472765060000002
11,261,0.841218198,0.5419060599999996
12,284,0.9058990830000013,0.5498435270000002
13,312,0.9853369090000008,0.5515834030000004
14,328,1.0289936070000003,0.5515353049999998
15,338,1.0569056549999978,0.5489134889999985
16,345,1.0820597710000008,0.5521182299999996
17,358,1.115487894000001,0.5451362330000009
18,370,1.1620522889999982,0.5536678080000002
19,392,1.2472001069999976,0.5249028790000008
20,404,1.3167837819999981,0.517008787
