Size,Influence,NodeRuntime,InfRuntime
0,0,0.5981673600000015,0.578254288
1,4,0.42909196699999974,0.5697914260000001
2,10,0.4477733510000004,0.5528763029999999
3,13,0.4666153039999994,0.539172041
4,14,0.47118406899999954,0.5391029110000001
5,17,0.48445558799999944,0.5409948500000001
6,18,0.5012047250000009,0.536721784
7,19,0.5062989840000007,0.542474007
8,23,0.5169984040000024,0.5371732530000006
9,41,0.5880996500000002,0.5480531910000002
10,47,0.6062977779999983,0.5288670830000006
11,50,0.6252890790000016,0.5393237390000003
12,61,0.6533129900000034,0.5345554749999994
13,74,0.6940737649999988,0.5314154810000007
14,77,0.7050588920000003,0.552765248
15,84,0.7247427870000003,0.561758750000001
16,88,0.7385081100000015,0.5330869270000012
17,89,0.7462999890000006,0.5317532240000009
18,95,0.7720874659999986,0.5350430199999998
19,99,0.8068479790000005,0.5380898930000004
20,133,0.9373802800000028,0.5450152849999998
