Size,Influence,NodeRuntime,InfRuntime
0,0,0.07070092100000025,1.063713836
1,96,0.2617492289999994,1.0415077779999995
2,138,0.378979974,1.0557412080000002
3,210,0.5133521200000004,1.0681591879999999
4,278,0.6654127480000014,1.0529403219999995
5,312,0.7572834089999994,1.063565532
6,347,0.8656709209999995,1.051056976
7,391,1.0125209810000015,1.038884287
8,429,1.1165336919999973,1.0286563649999998
9,463,1.1871259939999987,1.0293158370000004
10,482,1.2403669169999991,1.0383547059999998
11,539,1.4006900540000018,1.0400765309999986
12,587,1.514786505,1.0418692220000008
13,614,1.5957895849999986,1.043615105999999
14,642,1.6523194500000002,1.0396405570000002
15,674,1.753797413000001,1.0463271840000008
16,698,1.8094523680000023,1.0544975460000003
17,765,1.9514462210000048,1.0510369070000003
18,805,2.0423507470000004,1.0399401309999978
19,829,2.078072915,1.0594349250000017
20,864,2.191632810999998,1.044763664000001
