Size,Influence,NodeRuntime,InfRuntime
0,0,0.03480049400002372,0.03515391099999998
1,37,0.14693368400003237,32.063057543
2,73,0.2715524090000372,33.917136155
3,110,0.37908020799989117,34.971499357
4,142,0.4676364649999414,32.98545352800001
5,166,0.5412731579999672,33.28059985799999
6,189,0.6359575899999754,33.313710662000005
7,211,0.7054090390000738,33.497394122
8,238,0.7820040750000317,32.060111216000024
9,268,0.8491185149999865,32.49326257400003
10,281,0.9018000700000357,35.30114208600003
11,307,0.9756794820000323,38.97186482500001
12,324,1.0492767309999635,38.21395503599996
13,349,1.0858846319999884,35.552046872000005
14,372,1.1562075540000478,34.49125428999997
15,388,1.2233466430000135,34.77441472099997
16,394,1.2402369479999606,36.98922076300005
17,419,1.3076488570000038,46.31589756699998
18,439,1.3884002030000602,47.74397190499997
19,464,1.4392996109999103,43.30684903300005
20,471,1.4685667469999544,36.16141493500004
