Size,Influence,NodeRuntime,InfRuntime
0,0,0.07507892800003901,0.07748802999999999
1,66,0.32493936700007,82.928511978
2,126,0.40838027000017973,82.11807918800001
3,148,0.5380001030000585,81.193522298
4,218,0.7441000680000798,82.73217384399999
5,253,0.9330158750001374,82.17579520499999
6,297,1.0464128500000243,81.64278181700001
7,336,1.166220241000019,83.66255915999994
8,362,1.3000051020001138,79.52177548899999
9,397,1.521550963999971,83.42605100900005
10,437,1.5643294829999377,86.62704847000009
11,458,1.7596618590000617,86.12911223499998
12,510,2.2090290710000318,83.93727779199992
13,539,2.0301179049999973,83.92257556799996
14,573,2.6949797549998493,84.35225940099986
15,592,2.1989384799999243,84.52799955299997
16,641,2.1856244769999194,88.06832569100015
17,650,2.3410596420001184,83.27709587999993
18,697,2.352409639000143,88.86212018399988
19,726,3.071814875999962,84.79512888299996
20,747,2.476066454999909,91.18916912500003
