Size,Influence,NodeRuntime,InfRuntime
0,0,0.1177204860000245,10.112308912
1,1539,2.5675890999999917,10.037178961
2,2769,4.567865096000019,9.984987741
3,3940,6.361122662000014,9.961209245
4,4722,8.09818821799999,10.686217818000005
5,5547,8.90191501199999,10.348095016000002
6,6257,9.577262405999988,11.538405773999994
7,6694,10.16123814399998,10.69392479199999
8,7107,11.205015223000032,10.133998819
9,7362,11.595202677000033,10.374070932999999
10,7757,11.839434052,10.798338692000003
11,8122,13.070264002999975,10.394128615
12,8497,13.812064812000015,10.315722219999998
13,8804,14.745347826,10.538231935999988
14,9161,13.487595005999992,12.360195970999994
15,9510,13.86762235499998,11.83288152
16,9776,14.459786522000003,10.104150673999982
17,10089,14.725807126999994,9.949901114999989
18,10346,15.035995780999995,10.164424029999992
19,10686,15.570256651999955,10.03742650800001
20,10929,15.772238291000008,9.946718076999986
