Size,Influence,NodeRuntime,InfRuntime
0,0,0.1177204860000245,10.112308912
1,1435,2.567589099999992,10.037178961
2,2459,4.567865096000019,9.984987741
3,3317,6.361122662000014,9.961209245
4,4004,8.09818821799999,10.686217818000005
5,4620,8.90191501199999,10.348095016000002
6,5152,9.577262405999988,11.538405773999994
7,5509,10.16123814399998,10.69392479199999
8,5809,11.205015223000032,10.133998819
9,6035,11.595202677000033,10.374070932999999
10,6318,11.839434052,10.798338692000003
11,6649,13.070264002999975,10.394128615
12,6879,13.812064812000015,10.315722219999998
13,7107,14.745347826,10.538231935999988
14,7335,13.487595005999992,12.360195970999994
15,7564,13.86762235499998,11.83288152
16,7759,14.459786522000005,10.104150673999982
17,7942,14.725807126999994,9.949901114999989
18,8118,15.035995780999995,10.164424029999992
19,8319,15.570256651999955,10.03742650800001
20,8489,15.772238291000008,9.946718076999986
