Size,Influence,NodeRuntime,InfRuntime
0,0,0.9421396360000003,1.918965934
1,7,0.9801174680000031,1.8815404599999996
2,12,1.002753798999997,1.8947349119999997
3,16,1.018086958000005,1.8994861179999996
4,22,1.0420006169999994,1.8907528099999995
5,29,1.0782210170000042,1.887740342999999
6,34,1.0795851999999968,1.8748489149999994
7,37,1.1009712339999993,1.865821125
8,41,1.131137314,1.8752894389999994
9,46,1.1636147689999987,1.886586084000001
10,49,1.168270225999997,1.8958293210000008
11,51,1.1819075330000004,1.8744499080000026
12,53,1.204601599,1.8052454969999978
13,57,1.2369969459999979,1.77201144
14,63,1.255618499999997,1.799938799000003
15,67,1.275824153000002,1.7809884149999995
16,70,1.296046711999999,1.7787460850000016
17,75,1.3084257870000044,1.788201917000002
18,82,1.3474619209999972,1.770035207999996
19,86,1.3665013039999963,1.7844566999999998
20,91,1.3920254639999996,1.8703845710000024
