Size,Influence,NodeRuntime,InfRuntime
0,0,0.9374472540000056,1.8931417760000002
1,58,1.2982910010000026,1.8693336659999997
2,102,1.3601815729999984,1.8726628390000002
3,151,1.5233994780000017,1.875146257
4,189,1.6605657599999972,1.8676133399999992
5,232,1.9827843019999989,1.889513152000001
6,263,3.929009038000004,1.896540378000001
7,291,2.3989922230000005,1.752347928999999
8,335,2.3866152159999956,1.7826645999999986
9,373,2.4389994830000035,1.7674174380000025
10,401,2.6171855990000026,1.7632375760000016
11,418,3.335147945000003,1.7510883909999997
12,444,2.7242214840000116,1.7880441049999973
13,468,3.0247598559999886,1.784468326999999
14,488,3.1015052690000005,1.7680710330000018
15,523,3.029184401000009,1.762694574000001
16,547,3.323968731000008,1.7593604050000025
17,581,3.4598586529999977,1.9383870630000004
18,610,3.587674548999999,1.8796688039999978
19,630,3.7616741790000106,1.92497367
20,660,3.724966078999998,1.9295833449999975
