Size,Influence,NodeRuntime,InfRuntime
0,0,0.41413000699999714,1.8449958900000003
1,18,0.47100387799999766,1.8549170239999997
2,24,0.4899927630000036,1.890830416
3,28,0.5082265639999974,1.9033755460000004
4,39,0.5346504230000022,1.885110077000001
5,50,0.5636839980000019,1.8869864960000005
6,53,0.5775823009999996,1.905032876
7,56,0.5901849920000046,1.8715384900000007
8,59,0.6163439580000016,1.8793121709999987
9,60,0.622467168,1.871940931000001
10,64,0.6433411869999972,1.8711247429999993
11,65,0.6495332889999972,1.8917936770000026
12,66,0.6647882239999987,1.8842987129999997
13,72,0.6820922889999963,1.8863609419999996
14,79,0.7014109760000053,1.8786528770000004
15,84,0.7245676129999978,1.8794944329999979
16,85,0.7383325670000005,1.8719141880000016
17,91,0.7603471570000053,1.8865257969999973
18,98,0.7911092129999986,1.8781929490000024
19,104,0.8164350400000018,1.8927559930000015
20,110,0.8366314049999986,1.8635195409999952
