Size,Influence,NodeRuntime,InfRuntime
0,0,0.039831898000000976,0.557768759
1,2,0.04551352100000017,0.552171198
2,5,0.05074941899999885,0.551951276
3,16,0.08591247700000082,0.548478201
4,12,0.06776611899999985,0.551240972
5,9,0.05406801200000011,0.5573952419999997
6,24,0.09068915999999838,0.5523632950000001
7,20,0.07760489300000017,0.5515211230000006
8,25,0.0923361069999995,0.5470375709999997
9,24,0.07771826099999934,0.5523354550000006
10,26,0.08357974099999943,0.5565851500000001
11,26,0.08618038100000014,0.5524983360000002
12,46,0.12770775999999984,0.5496736709999999
13,35,0.10111476900000049,0.5595262250000008
14,44,0.1168705370000005,0.5475946460000003
15,46,0.12411516699999936,0.5470328470000005
16,68,0.181166876999999,0.5512517980000009
17,63,0.1588537720000005,0.5448823619999992
18,45,0.11438229500000041,0.5473082109999989
19,48,0.11417315699999975,0.5459379099999992
20,81,0.20129408399999882,0.5492243819999985
