Size,Influence,NodeRuntime,InfRuntime
0,0,1.1278897499999996,0.546472801
1,4,0.9708606740000008,0.5346975420000001
2,8,1.0259195470000009,0.5284654230000001
3,12,1.0578557009999994,0.5333509639999998
4,14,1.0274029529999993,0.535219906
5,19,1.0447009509999994,0.532003215
6,21,1.0502332900000013,0.5292573190000001
7,24,1.075213601999998,0.5308123299999998
8,27,1.0921703479999998,0.5284571099999997
9,35,1.1385162440000016,0.531527165
10,39,1.1885929120000007,0.5311310899999997
11,43,1.245851462000001,0.5327140430000004
12,49,1.978478227,0.5375579419999994
13,56,1.3573546069999978,0.5305012060000003
14,60,1.2750165719999984,0.5354875239999997
15,64,1.3084715350000025,0.530518421
16,67,1.2957168749999965,0.529350410000001
17,69,1.3562689350000028,0.5319490039999994
18,73,1.3892176370000016,0.5293724920000002
19,81,1.5111834240000022,0.549194988
20,89,1.5028596249999993,0.5580469909999994
