Size,Influence,NodeRuntime,InfRuntime
0,0,1.1410449370000002,0.5694778039999999
1,50,1.108175826,0.5681449599999999
2,96,1.2845186290000008,0.566948646
3,140,1.511812508000002,0.574569712
4,162,1.5698131019999977,0.565017359
5,193,1.6790533500000002,0.5561429360000001
6,222,1.8020981579999997,0.5543347980000002
7,253,1.917578301999999,0.5559174479999998
8,281,2.0378806849999975,0.5535196979999997
9,337,2.2403693060000016,0.5542154180000001
10,359,2.3409093490000004,0.557152512
11,395,2.4775292869999994,0.5526836810000004
12,428,2.595707173000001,0.5570217360000003
13,467,2.7236366280000013,0.5581954620000005
14,494,2.8205545180000016,0.5531021880000004
15,506,2.867794484000001,0.5755916620000008
16,516,2.9270936420000027,0.5525334170000011
17,534,3.0285647700000027,0.5510005969999998
18,554,3.2540037229999967,0.554503102
19,595,3.350418107000003,0.553689670999999
20,613,3.3425066660000056,0.5536930680000012
