Size,Influence,NodeRuntime,InfRuntime
0,0,1.5015208029999982,2.490423611
1,7,1.3481677720000036,2.505162682
2,12,1.4021940270000002,2.4636780939999996
3,16,1.5137137769999995,2.5376155979999995
4,22,1.4802217840000012,2.5402095750000004
5,29,1.5926119860000085,2.492253378999999
6,33,1.4218975900000004,2.498961361000001
7,37,1.4262708119999985,2.5337202409999975
8,41,1.4892068030000019,2.5335302969999987
9,45,1.5363909309999997,2.5363753729999985
10,49,1.5875737060000006,2.518028074
11,51,1.608645224,2.568635878000002
12,54,1.6198026729999953,2.5036372799999995
13,57,1.6646191560000005,2.5163012109999983
14,63,1.8812201329999994,2.505097852000006
15,67,1.8508940920000043,2.8841672499999973
16,70,1.8176678089999996,2.747133777000002
17,75,1.8557719349999928,2.955502355
18,82,1.8714129579999934,2.514296826000006
19,86,1.959804755999997,2.9089792649999993
20,91,1.9725222869999897,2.6837749640000013
