Size,Influence,NodeRuntime,InfRuntime
0,0,0.06486858599998868,5.341317013
1,73,0.2384030900000056,5.358540576
2,171,0.4199505540000104,5.723689107000003
3,222,0.5340286170000041,6.038494959000001
4,290,0.6810126489999959,5.425104876999999
5,352,0.8013817979999942,5.415901039000001
6,411,1.0873305230000057,5.779151399
7,478,1.2547436250000032,5.352631618999999
8,527,1.5224734920000031,5.3718193309999975
9,575,1.4681835310000082,5.570358539999994
10,632,1.4290828709999914,5.589061504
11,678,1.7257659320000016,5.273504681999995
12,720,1.6369945889999968,5.319445880000004
13,759,1.7539076810000012,5.465789110000002
14,792,1.8296255299999868,5.494756178000003
15,826,1.7528058549999912,5.341450979000001
16,857,2.287348890000004,5.288630588999993
17,908,2.3821471260000067,5.4138220310000085
18,949,2.1147792520000053,5.159228061999997
19,1005,2.5134267619999946,5.448527284000008
20,1061,2.4706768940000075,5.376663655999991
