Size,Influence,NodeRuntime,InfRuntime
0,0,0.1103689079999981,2.23235959
1,10,0.12847889300000048,2.317286616
2,2,0.11075699799999936,2.5949009139999992
3,11,0.12539664500000214,2.482430376000001
4,16,0.13924428300000358,2.617878469999999
5,5,0.11381996600000124,2.602806864
6,57,0.21147948800000194,2.5619794260000006
7,15,0.12708757000000048,2.2809588780000003
8,16,0.13282424299999462,2.4278266650000013
9,36,0.1707672020000004,2.397475225000001
10,22,0.13830913600000372,2.499009031
11,92,0.28398937200000063,2.3120529150000024
12,176,0.4458283199999968,2.4276451540000004
13,24,0.15035719600000166,2.497347568000002
14,40,0.1724037179999982,2.668458471999997
15,68,0.2329382320000022,2.247426788999995
16,37,0.16353108700000266,2.342966625999999
17,65,0.21176518299999714,2.2957220890000016
18,57,0.20915496899999653,2.3155358759999984
19,195,0.4859680209999979,2.2249002140000016
20,121,0.3252467639999992,2.288301256000004
