Size,Influence,NodeRuntime,InfRuntime
0,0,0.9352831179999992,0.564955565
1,1,0.9396287090000008,0.555283268
2,2,0.938543790999999,0.56171394
3,5,0.9495149880000007,0.5530632200000001
4,5,0.9434899039999998,0.558064457
5,9,0.9516012400000022,0.5515629710000001
6,7,0.9453261819999987,0.5562009809999999
7,12,0.9626449669999992,0.556582347
8,11,0.9546335600000013,0.555114401
9,15,0.9622842720000016,0.5525250330000002
10,18,0.9666694100000015,0.5570537689999995
11,20,0.9693148209999976,0.5544533380000001
12,18,0.9817230389999985,0.5571192199999997
13,19,1.0192802599999986,0.5560462749999999
14,21,0.9764178769999994,0.5551160680000002
15,25,0.9755152450000004,0.557274099999999
16,24,0.9738115769999993,0.557575258
17,27,0.9844381049999988,0.5586285990000004
18,27,1.0212185590000011,0.5567171139999996
19,31,1.0234055820000023,0.5525421640000001
20,31,1.0006794480000032,0.5560042680000006
